# Prior;Lambda;PCA;Dataset;Weighted;MinDCF
$\pi = 0.5$;$10^2$;No PCA;RAW;Unweighted;0.48657939264404665
$\pi = 0.5$;$10$;No PCA;RAW;Unweighted;0.5013956210322761
$\pi = 0.5$;$10^{-1}$;No PCA;RAW;Unweighted;0.5090098342302456
$\pi = 0.5$;$10^{-2}$;No PCA;RAW;Unweighted;0.5105962876734985
$\pi = 0.5$;$10^{-3}$;No PCA;RAW;Unweighted;0.5105326768698396
$\pi = 0.5$;$10^{-4}$;No PCA;RAW;Unweighted;0.5105326768698396
$\pi = 0.5$;$10^{-5}$;No PCA;RAW;Unweighted;0.5105326768698396
$\pi = 0.1$;$10^3$;No PCA;RAW;Unweighted;1.0
$\pi = 0.1$;$10^2$;No PCA;RAW;Unweighted;1.0
$\pi = 0.1$;$10$;No PCA;RAW;Unweighted;1.0
$\pi = 0.1$;$10^{-1}$;No PCA;RAW;Unweighted;1.0
$\pi = 0.1$;$10^{-2}$;No PCA;RAW;Unweighted;1.0
$\pi = 0.1$;$10^{-3}$;No PCA;RAW;Unweighted;1.0
$\pi = 0.1$;$10^{-4}$;No PCA;RAW;Unweighted;1.0
$\pi = 0.1$;$10^{-5}$;No PCA;RAW;Unweighted;1.0
$\pi = 0.9$;$10^3$;No PCA;RAW;Unweighted;0.5177664974619289
$\pi = 0.9$;$10^2$;No PCA;RAW;Unweighted;0.5299492385786801
$\pi = 0.9$;$10$;No PCA;RAW;Unweighted;0.5440975535284913
$\pi = 0.9$;$10^{-1}$;No PCA;RAW;Unweighted;0.5496813098736689
$\pi = 0.9$;$10^{-2}$;No PCA;RAW;Unweighted;0.5506965383000649
$\pi = 0.9$;$10^{-3}$;No PCA;RAW;Unweighted;0.5506965383000649
$\pi = 0.9$;$10^{-4}$;No PCA;RAW;Unweighted;0.5506965383000649
$\pi = 0.9$;$10^{-5}$;No PCA;RAW;Unweighted;0.5506965383000649
$\pi = 0.5$;$10^3$;PCA $(m=5)$;RAW;Unweighted;0.4865475872422172
$\pi = 0.5$;$10^2$;PCA $(m=5)$;RAW;Unweighted;0.4875946210704426
$\pi = 0.5$;$10$;PCA $(m=5)$;RAW;Unweighted;0.5051384807195654
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;RAW;Unweighted;0.5141801203516405
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;RAW;Unweighted;0.5136725061384426
