# Prior;Lambda;PCA;Dataset;Weighted;Type;Cutto;MinDCF
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;1.0
$\pi = 0.9$;$10^3$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.6197969543147208
$\pi = 0.9$;$10^2$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5421319796954315
$\pi = 0.9$;$10$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5456852791878173
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5372772031601847
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5496813098736689
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5512041525132628
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5512041525132628
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Unweighted;Linear;;0.5512041525132628
