# Prior;Lambda;PCA;Dataset;Weighted;Type;LogregPrior;MinDCF
$\pi = 0.9$;$10^{-1}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.24467005076142131
$\pi = 0.9$;$10^{-2}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.19695431472081218
$\pi = 0.9$;$10^{-3}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.1350253807106599
$\pi = 0.9$;$10^{-4}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.12893401015228426
$\pi = 0.9$;$10^{-5}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.13169344681500708
$\pi = 0.5$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.23039069755607292
$\pi = 0.5$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.22176125593170742
$\pi = 0.5$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.184800834573744
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.13635611872320394
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.11180107629479791
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.09752426752159588
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.10025317099856239
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.09631947890029642
$\pi = 0.1$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.7113468951566734
$\pi = 0.1$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.7101726397211302
$\pi = 0.1$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.6036067325674593
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.47775021309619226
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.4180438405658817
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.3967901988473722
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.40253298220169714
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.41005177919417835
$\pi = 0.9$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.3436548223350254
$\pi = 0.9$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.332994923857868
$\pi = 0.9$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.3030456852791878
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.2467005076142132
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.1976832945307431
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.13857868020304567
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.1319796954314721
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.13959390862944163
$\pi = 0.5$;$10^3$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.4880386244799817
$\pi = 0.5$;$10^2$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.48657939264404665
$\pi = 0.5$;$10$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.4890220475045482
$\pi = 0.5$;$10^{-1}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.4938450186379655
$\pi = 0.5$;$10^{-2}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.4933374044247675
$\pi = 0.5$;$10^{-3}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.4933374044247675
$\pi = 0.5$;$10^{-4}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.4933374044247675
$\pi = 0.5$;$10^{-5}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.4933374044247675
$\pi = 0.1$;$10^3$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^2$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^{-1}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^{-2}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^{-3}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^{-4}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^{-5}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.9$;$10^3$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.5147208121827411
$\pi = 0.9$;$10^2$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.5243654822335025
$\pi = 0.9$;$10$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.5344528834777299
$\pi = 0.9$;$10^{-1}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.5339452692645319
$\pi = 0.9$;$10^{-2}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.5334376550513339
$\pi = 0.9$;$10^{-3}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.5334376550513339
$\pi = 0.9$;$10^{-4}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.5334376550513339
$\pi = 0.9$;$10^{-5}$;No PCA;RAW;Weighted;Linear;$\pi = 0.5$;0.5334376550513339
$\pi = 0.5$;$10^3$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.4865157818403878
$\pi = 0.5$;$10^2$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.48746739946312484
$\pi = 0.5$;$10$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.4930511558083025
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.4955574214724629
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.4955574214724629
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.4955574214724629
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.4955574214724629
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.4955574214724629
$\pi = 0.1$;$10^3$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^2$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;1.0
$\pi = 0.9$;$10^3$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.5172588832487309
$\pi = 0.9$;$10^2$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.5286477615358192
$\pi = 0.9$;$10$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.5388000457997787
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.5413381168657684
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.5418457310789664
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.5418457310789664
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.5418457310789664
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Linear;$\pi = 0.5$;0.5418457310789664
$\pi = 0.5$;$10^3$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.5$;0.4928285179954964
$\pi = 0.5$;$10^2$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.5$;0.4928285179954964
$\pi = 0.5$;$10$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.5$;0.488355406282203
$\pi = 0.5$;$10^{-1}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.5$;0.4904812793404832
$\pi = 0.5$;$10^{-2}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.5$;0.4918145617851736
$\pi = 0.5$;$10^{-3}$;No PCA;Z-Norm;Weighted;Linear;$\pi = 0.5$;0.4933374044247675
