# Kernel;Prior;PCA;Dataset;Gamma;C;K;MinDCF
RBF;$\pi = 0.9$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.9954314720812183
RBF;$\pi = 0.5$;No PCA;Z-Norm;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.13857613577089933
RBF;$\pi = 0.1$;No PCA;Z-Norm;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.4230563718942025
RBF;$\pi = 0.9$;No PCA;Z-Norm;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.4116102438838212
RBF;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.1376245181481623
RBF;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.4144918132895691
RBF;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10^{-4}$;$K = 1$;0.4011717110033968
RBF;$\pi = 0.5$;No PCA;RAW;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.09051308474231264
RBF;$\pi = 0.1$;No PCA;RAW;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.4057987608615447
RBF;$\pi = 0.9$;No PCA;RAW;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.17687111178962636
RBF;$\pi = 0.5$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.09314657201379083
RBF;$\pi = 0.1$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.4142055646731041
RBF;$\pi = 0.9$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.17157360406091374
RBF;$\pi = 0.5$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.7346335381601211
RBF;$\pi = 0.1$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.9454346526214011
RBF;$\pi = 0.9$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.8131979695431472
RBF;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.8068076282075747
RBF;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 10$;1.0
RBF;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 10$;0.9202396855081866
RBF;$\pi = 0.5$;No PCA;RAW;$\gamma = 1$;$C = 10$;$K = 10$;0.5631171838225004
RBF;$\pi = 0.1$;No PCA;RAW;$\gamma = 1$;$C = 10$;$K = 10$;0.688878287088279
RBF;$\pi = 0.9$;No PCA;RAW;$\gamma = 1$;$C = 10$;$K = 10$;0.9979695431472081
RBF;$\pi = 0.5$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10$;$K = 10$;0.3722287953386003
RBF;$\pi = 0.1$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10$;$K = 10$;0.5630917395010369
