# Prior;Dataset;MVG;PCA;Components;MinDCF
$\pi = 0.9$;Z-Norm;Standard GMM;No PCA;4;0.2301057211556811
$\pi = 0.5$;RAW;Diagonal GMM;No PCA;4;0.10155337582535018
$\pi = 0.5$;Z-Norm;Diagonal GMM;No PCA;4;0.09809549253845273
$\pi = 0.1$;RAW;Diagonal GMM;No PCA;4;0.4228986171011284
$\pi = 0.1$;Z-Norm;Diagonal GMM;No PCA;4;0.4366042008574736
$\pi = 0.9$;RAW;Diagonal GMM;No PCA;4;0.16954314720812183
$\pi = 0.9$;Z-Norm;Diagonal GMM;No PCA;4;0.1766497461928934
$\pi = 0.5$;RAW;Tied GMM;No PCA;4;0.11021462285154511
$\pi = 0.5$;Z-Norm;Tied GMM;No PCA;4;0.11214966349884864
$\pi = 0.1$;RAW;Tied GMM;No PCA;4;0.5169331959339974
$\pi = 0.1$;Z-Norm;Tied GMM;No PCA;4;0.4570983295802959
$\pi = 0.9$;RAW;Tied GMM;No PCA;4;0.21240410671348423
$\pi = 0.9$;Z-Norm;Tied GMM;No PCA;4;0.19384374642189228
$\pi = 0.5$;RAW;Standard GMM;PCA $(m=5)$;4;0.14587483938272078
$\pi = 0.5$;Z-Norm;Standard GMM;PCA $(m=5)$;4;0.11709858402351055
$\pi = 0.1$;RAW;Standard GMM;PCA $(m=5)$;4;0.47346793379387553
$\pi = 0.1$;Z-Norm;Standard GMM;PCA $(m=5)$;4;0.4390812055519509
$\pi = 0.9$;RAW;Standard GMM;PCA $(m=5)$;4;0.2914621579329033
$\pi = 0.9$;Z-Norm;Standard GMM;PCA $(m=5)$;4;0.2367047059272547
$\pi = 0.5$;RAW;Diagonal GMM;PCA $(m=5)$;4;0.13086777858351462
$\pi = 0.5$;Z-Norm;Diagonal GMM;PCA $(m=5)$;4;0.11579837919672277
$\pi = 0.1$;RAW;Diagonal GMM;PCA $(m=5)$;4;0.5265142551811
$\pi = 0.1$;Z-Norm;Diagonal GMM;PCA $(m=5)$;4;0.4800694629975955
$\pi = 0.9$;RAW;Diagonal GMM;PCA $(m=5)$;4;0.1946376092515553
$\pi = 0.9$;Z-Norm;Diagonal GMM;PCA $(m=5)$;4;0.25136063509026374
$\pi = 0.5$;RAW;Tied GMM;PCA $(m=5)$;4;0.12204750454817245
$\pi = 0.5$;Z-Norm;Tied GMM;PCA $(m=5)$;4;0.10812055519509434
$\pi = 0.1$;RAW;Tied GMM;PCA $(m=5)$;4;0.47004440034095385
$\pi = 0.1$;Z-Norm;Tied GMM;PCA $(m=5)$;4;0.4679821380863326
$\pi = 0.9$;RAW;Tied GMM;PCA $(m=5)$;4;0.20406091370558377
$\pi = 0.9$;Z-Norm;Tied GMM;PCA $(m=5)$;4;0.21951070569825581
